,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
UAP PROVINCIAL,100000,0,0,100000,0,0,2347,0,102347,709230,0,43916,855493,0,0,29845,288255,0,0,0,0,0,322930,0,0,115360,,34415,18709,45979,0,855493
TOTAL,1966540,393400,915540,1573140,420977,1222975,2743702,2730896,8691690,47557649,781609,3180606,60211554,2917541,2391332,509611,21871715,0,59945,234159,62017,168880,13483324,3198921,589279,9720224,256666,519023,1078568,2876461,273888,60211554
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
APOLLO,150000,0,150000,150000,0,19278,685176,0,854454,298143,425300,196446,1774343,0,230550,3438,170928,0,10071,0,0,246830,793010,21282,0,39516,0,53197,28657,176864,0,1774343
BLUE SHIELD,50000,0,50000,50000,2950,0,0,0,52950,236613,0,156767,446330,6641,20843,1297,160081,0,0,0,0,0,0,6803,0,98172,0,11002,31553,109938,0,446330
BRITAK,100000,0,100000,100000,0,0,35988,3106963,3242951,5468539,0,378014,9089504,159973,869958,54207,994370,0,369340,0,0,0,4401414,1065650,654915,45513,81622,53336,110193,194617,34396,9089504
CANNON,50000,0,50000,50000,276807,0,0,26250,353057,406902,0,150523,910482,35560,322560,3478,250447,0,0,0,0,0,159299,32587,0,63822,0,0,12704,30025,0,910482
CFC LIFE,62340,0,62340,62340,0,214926,0,268918,546184,7550494,1398,524290,8622366,638667,89124,108467,3660627,0,262393,0,0,0,2124237,526967,0,678046,7248,12443,165966,121963,226218,8622366
COOPERATIVE,130000,0,130000,130000,0,0,0,103395,233395,715338,0,141550,1090283,205500,94500,33407,254348,0,0,0,0,0,579,145262,0,148607,55001,11818,18530,105132,17599,1090283
CORPORATE,51200,0,51200,51200,0,0,0,13671,64871,79718,1843,2923,149355,0,75000,329,29593,0,0,0,0,0,4213,26272,0,6911,1362,0,3525,2150,0,149355
E.A- RE,0,0,0,0,0,0,0,0,0,90373,0,6982,97355,0,0,0,41509,0,0,0,0,0,17909,0,0,29244,5185,0,3453,55,,97355
"FIRST
ASSURANCE",50000,0,50000,50000,-1914,0,0,0,48086,4335,13424,100,65945,0,0,2868,16013,0,0,0,0,0,0,0,0,28679,6078,10798,1214,295,0,65945
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEMINIA,50000,0,50000,50000,0,0,0,0,50000,107869,0,15933,173802,0,0,0,41600,0,0,0,0,0,0,833,0,126500,0,0,2165,2704,0,173802
HERITAGE A.I.I,50000,0,50000,50000,38100,162657,234384,0,485141,1085549,127,43710,1614527,0,25000,1841,471334,0,213667,0,0,0,531407,51189,126499,152327,23894,10154,0,7215,0,1614527
ICEA,50000,0,50000,50000,0,0,0,0,50000,16138694,73359,228423,16490476,0,3639500,0,9728393,0,44596,0,0,0,1380249,214142,0,1337135,0,0,79695,66766,0,16490476
JUBILEE,80000,0,80000,80000,0,0,0,0,80000,7739392,62267,82989,7964648,0,942000,16102,3052273,0,19838,0,0,0,2565785,208290,0,651970,0,37473,284413,186504,0,7964648
KENINDIA,50000,0,50000,50000,253273,0,0,0,303273,5515165,0,69873,5888311,338912,0,5739,4211065,0,58920,21353,0,0,455516,87820,0,421265,0,79119,72291,136311,0,5888311
KENYA RE,0,0,0,0,,,,2256844,2256844,0,0,20576,2277420,0,750000,0,1085438,0,0,0,0,0,0,0,0,2380,0,24363,0,415239,0,2277420
"KENYA
ALLIANCE",50000,0,50000,50000,6000,0,0,229166,285166,4503,2601,1411,293681,0,0,47,238901,0,0,0,0,0,0,0,0,6820,9672,0,4854,33387,0,293681
KNAC (2001),50000,0,50000,50000,0,0,15384,23443,88827,1349248,0,96828,1534903,0,1185668,22628,18493,0,0,0,62017,0,29552,76060,0,78971,13119,0,3066,45171,158,1534903
MADISON,50000,0,50000,50000,0,97633,26800,0,174433,1713403,0,122127,2009963,0,611505,10623,343966,0,0,0,0,0,595979,218802,0,126426,0,20717,16212,65733,0,2009963
NO.,1,2,3,4,5,6,7,8,9,10,11,12,,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
METROPOLITAN,360000,0,360000,360000,0,0,-149693,0,210307,1582,3218,221444,436551,0,0,140867,81291,0,0,0,0,0,0,0,0,180614,4446,0,19756,9577,0,436551
MERCANTILE,50000,0,50000,50000,0,0,0,0,50000,213769,116248,6161,386178,45000,0,395,82891,0,23000,0,0,0,0,5744,0,207691,2815,17438,0,1204,0,386178
OLD MUTUAL,100000,20000,80000,80000,0,278550,179911,80000,618461,5612155,0,216845,6447461,0,0,110882,1333668,0,0,0,0,0,2478365,290636,0,1169524,41064,0,268766,737075,17481,6447461
PAN AFRICA LIFE,500000,373400,126600,126600,292172,0,0,161229,580001,3665964,63248,409378,4718591,21993,224000,46266,1699505,0,41069,0,0,0,837288,404489,0,891700,151400,57737,40261,297594,5289,4718591
PIONEER,65000,0,65000,65000,3923,0,0,0,68923,395556,1898,41185,507562,0,234700,9454,67121,0,6976,0,0,0,1362,83164,0,22524,39284,0,12415,30562,,507562
THE MONARCH,50000,0,50000,50000,0,0,36008,0,86008,0,31407,79947,197362,97612,0,0,0,0,0,0,0,0,0,0,0,6200,0,92402,435,713,0,197362
TRINITY LIFE,100000,10046,89954,89954,0,0,0,-5384,84570,127800,0,5807,218177,124500,0,4655,28750,0,11531,0,0,0,0,0,476,9435,2247,0,1709,12674,22200,218177
UAP PROVINCIAL,100000,0,100000,100000,0,0,2347,0,102347,927944,0,22833,1053124,0,0,39569,396529,0,0,0,293,0,300198,0,0,185351,11164,42529,55504,21987,0,1053124
TOTAL,2398540,403446,1995094,1995094,871311,773044,1066305,6264495,10970249,59449048,796338,3243065,74458700,1674358,9314908,616559,28459134,0,1061401,21353,62310,246830,16676362,3465992,781890,6715343,455601,534526,1237337,2811455,323341,74458700
NO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,
APOLLO,50000,0,50000,50000,0,,145373,0,195373,284603,570089,14188,1064253,270000,6982,247491,0,0,63326,0,0,2621,,3021,0,21206,0,0,24031,44444,0,1064253
BLUE SHIELD,150000,87587,62413,62413,0,0,31111,50593,144117,359856,0,36350,540323,365666,0,4364,20650,0,0,0,0,0,,10427,0,13701,13170,0,67,108371,3907,540323
BRITAK,180000,-,180000,180000,-,-,51300,3143309,3374609,8796065,17334,333342,12521350,221723,1067862,109482,1894491,-,-,-,-,-,,1431907,-,2341900,64589,59274,179606,144043,58756,12521350
CANNON,150000,0,150000,150000,205008,0,0,0,355008,579279,0,132213,1066500,45000,427900,3418,249816,0,10000,0,0,0,,90531,0,50782,0,0,3797,21273,3341,1066500
CFC LIFE,152340,-,152340,152340,511757,568302,-89423,-,1142976,9238389,6061,403037,10790463,564945,110000,370829,5446767,-,-,-,-,-,,672473,-,1282509,3646,-,111937,218288,153627,10790463
