,NOMINAL_SHARE_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_SHARE_CAPITAL,PAID_UP_CAPITAL,STATUTORY_RESERVE,INVESTMENT_FLUCTUATION_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS_(NET),ALL_OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID_UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENT_IN_SUBSIDIARY,UNQUOTED_ORDINARY_SHARES,QUOTED_ORDINARY_SHARES,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OTHER_INVESTMENTS,OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_RE_INSURERS,REINSURERS'_SHARE_OF_TECHNICAL_LIABILITIES,CASH,OTHER_CURRENT_ASSETS,INTANGIBLE_ASSETS,TOTAL_ASSETS,,GENERAL_RESERVE,UNAPPRTD_SURPLUS/RETAINED_EARNINGS,DEBENTURES_(QUOTED_&_UNQUOTED),PREFERENCE_SHARES_(QUOTED_&_UNQUOTED),SECURED_LOANS_(INCLUDING_LOAN_OF_POLICIES),AMOUNTS_IN_'000'_KES,FIGURES_IN_THOUSANDS_KSHS.
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,,Amounts in KES '000',,,,,,,
METROPOLITAN,420000,12365,407635,407635,-,-,-581879,400159,225915,346128,-,35410,607453,-,-,66827,271368,-,-,-,-,-,-,40598,-,-,158235,13604,7013,14220,-,9430,26158,-,607453,,,,,,,,
MERCANTILE,150000,-,150000,150000,-,-3156,-,-,146844,664470,-,26799,838113,68500,-,2236,180699,-,-,-,-,-,-,7627,6064,-,447551,115610,49,1313,1236,5054,2174,-,838113,,,,,,,,
OLD MUTUAL,1000000,275014,724986,1884957,-,-,-1004640,72435,952752,9460420,13336,535569,10962077,304833,1189693,64707,2505557,-,-,-,-,-,308938,3381457,437384,-,2304424,-,-,-,-,171318,288154,5612,10962077,,,,,,,,
PAN AFRICA,500000,300000,200000,200000,852155,,-20520,30260,1061895,13179255,13433,431966,14686549,-,820000,192342,7608104,-,-,-,-,-,-,1494143,359954,-,3272863,-,123426,56040,197348,253114,309215,-,14686549,,,,,,,,
PIONEER,150000,-,150000,150000,67942,-,111875,-,329817,601756,15869,50066,997508,-,436703,15915,173539,-,-,-,-,-,-,5844,98380,-,40083,28819,92176,35248,210,12607,57984,-,997508,,,,,,,,
SHIELD,150000,-,62000,62000,-29654,-,-,118000,150346,518803,-,24241,693390,-,599053,9052,10991,-,-,-,-,-,-,-,12649,-,-,-,7599,-,-,236,53810,-,693390,,,,,,,,
THE MONARCH,154976,-,154976,154976,58211,-,-,93126,306313,-,99988,94351,500652,200000,-,3074,119348,-,-,-,-,-,-,-,75000,-,1000,-,30282,15375,47750,878,-,7945,500652,,,,,,,,
UAP,635456,-,635456,635456,-202192,-,-,36171,469435,3901866,80587,215577,4667465,709000,-,27638,2354887,-,286325,-,-,-,-,814584,-,-,15702,-,59630,455,171666,167691,59887,-,4667465,,,,,,,,
TOTAL,6514160,587379,5838781,6998752,12073328,3907546,-1197169,1610106,23392563,134329643,1487505,4710817,163920528,3242575,17820203,1161288,69631271,-,499902,-,-,-,3673787,22585827,4971497,19753,24226681,9359425,939182,401553,1178154,1916095,2121531,171804,163920528,,,,,,,,
NO.,1.0,2.0,3.0,4.0,,6.0,,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,,,22.0,23.0,24.0,,26.0,27.0,28.0,29.0,30.0,,31.0,32.0,33.0,34.0,,5.0,7.0,20.0,21.0,25.0,,
APOLLO,150000.0,0.0,150000.0,150000.0,,-19771.0,,135489.0,271941.0,433606.0,883405.0,31414.0,1620366.0,350000.0,87647.0,7037.0,626058.0,0.0,0.0,,,0.0,41880.0,361642.0,,0.0,64773.0,0.0,0.0,0.0,,15473.0,62353.0,0.0,1620366.0,,6223.0,0.0,0.0,0.0,3503.0,,
BRITAK,180000.0,0.0,180000.0,180000.0,,2300483.0,,52257.0,3359196.0,13586041.0,0.0,484262.0,17429499.0,222778.0,0.0,162559.0,3638505.0,0.0,0.0,,,0.0,0.0,5363487.0,,0.0,4826857.0,1581362.0,53871.0,63783.0,,283087.0,154149.0,89139.0,17429499.0,,576457.0,249999.0,0.0,0.0,989922.0,,
CANNON,150000.0,0.0,150000.0,150000.0,,0.0,,0.0,718276.0,676136.0,0.0,91265.0,1485677.0,65000.0,478156.0,4720.0,361398.0,0.0,10065.0,,,0.0,0.0,140638.0,,0.0,274442.0,0.0,0.0,0.0,,3338.0,23049.0,5467.0,1485677.0,,269660.0,298616.0,0.0,0.0,119404.0,,
CFC LIFE,152340.0,0.0,152340.0,152340.0,,350521.0,,0.0,820883.0,11900696.0,1057.0,510887.0,13233523.0,603623.0,0.0,285314.0,6280800.0,0.0,0.0,,,0.0,2233.0,1684727.0,,0.0,1466816.0,1494386.0,14470.0,20450.0,,122592.0,283305.0,100934.0,13233523.0,,318022.0,0.0,0.0,0.0,873874.0,,
COOPERATIVE,686775.0,0.0,686775.0,686775.0,,0.0,,720198.0,1406973.0,1641598.0,0.0,457463.0,3506034.0,129785.0,294020.0,145081.0,1206318.0,0.0,0.0,,,0.0,0.0,62183.0,,0.0,1231089.0,0.0,25522.0,4853.0,,44187.0,176910.0,0.0,3506034.0,,0.0,0.0,0.0,0.0,186086.0,,
CORPORATE,150000.0,0.0,150000.0,150000.0,,0.0,,1529.0,151529.0,270970.0,2270.0,7344.0,432113.0,0.0,223636.0,555.0,89806.0,0.0,0.0,,,0.0,0.0,1514.0,,0.0,50753.0,0.0,0.0,0.0,,35059.0,1208.0,0.0,432113.0,,0.0,0.0,0.0,0.0,29582.0,,
EAS T AFRICA RE,150000.0,0.0,150000.0,150000.0,,0.0,,0.0,284036.0,164999.0,0.0,115902.0,564937.0,0.0,0.0,0.0,174396.0,0.0,10209.0,,,0.0,0.0,262.0,,0.0,333612.0,0.0,29169.0,2917.0,,244.0,8571.0,5557.0,564937.0,,0.0,134036.0,0.0,0.0,0.0,,
"FIRS T
AS S URANCE",150000.0,0.0,150000.0,150000.0,,0.0,,37728.0,187728.0,74069.0,12129.0,9616.0,283542.0,0.0,55000.0,445.0,91275.0,0.0,9476.0,,,0.0,0.0,17106.0,,0.0,36557.0,0.0,2488.0,65054.0,,5991.0,150.0,0.0,283542.0,,0.0,0.0,0.0,0.0,0.0,,
