NAME OF INSURER,NO.,PROFIT/LOSS_TRANSFERRED_FROM_REVENUE,INVESTMENT_INCOME,SHARE_IN_MOTOR_POOL,OTHER_INCOMES,MANAGEMENT_EXPENSES,OTHER_EXPENSES,PROVISION_FOR_TAXATION,PROFIT_OR_LOSS_AFTER_TAXITION,UNAPPRTD_PROFIT/LOSS_B/F,TOTAL_PROFIT_AVAILABLE_FOR_DISTRIBUTION,TRANSFERS_TO_RESERVES,DIVIDENDS,OTHER_APPRTNS,UNAPPRTD_PROFIT/LOSS_C/F
Real,40,33013.0,44889.0,0.0,,752.0,6653.0,13924.0,56573.0,19294.0,75867.0,10000.0,45500.0,,20367.0
Standard,41,58898.0,13081.0,0.0,50.0,0.0,68063.0,2406.0,1560.0,36711.0,38271.0,0.0,0.0,,38271.0
Tausi,42,-51183.0,24412.0,0.0,0.0,4802.0,3295.0,-9499.0,-25369.0,33194.0,7825.0,-27000.0,0.0,19949.0,14876.0
The Monarch,43,9941.0,0.0,0.0,0.0,0.0,0.0,0.0,9941.0,6664.0,16605.0,0.0,0.0,0.0,16605.0
Trident,44,-13958.0,55651.0,0.0,1215.0,8447.0,0.0,10535.0,23926.0,66256.0,90182.0,0.0,8000.0,0.0,82182.0
Trinity Life,45,2161.0,0.0,0.0,0.0,0.0,0.0,0.0,2161.0,0.0,2161.0,0.0,0.0,0.0,2161.0
UAP Provincial,46,142198.0,599410.0,0.0,0.0,49725.0,0.0,74723.0,617160.0,1041178.0,1658338.0,0.0,240000.0,0.0,1418338.0
TOTAL,,2020670.0,3607871.0,25277.0,603419.0,556558.0,779594.0,1084498.0,3836587.0,8185631.0,12022218.0,-652302.0,1651136.0,-348266.0,11371650.0
,Figures in Thousands Kshs.,,,,,,,,,,,,,,
AIG (K),1,167881.0,74356.0,0.0,0.0,0.0,44414.0,72413.0,125410.0,176488.0,301898.0,0.0,109500.0,60000.0,132398.0
Amaco,2,40306.0,12315.0,0.0,0.0,741.0,17874.0,9631.0,24375.0,11306.0,35681.0,0.0,0.0,0.0,35681.0
APA,3,10335.0,99932.0,0.0,101718.0,18115.0,23579.0,9186.0,161105.0,625305.0,786410.0,-644135.0,18000.0,6160.0,1406385.0
