,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBILEE,620000,-,620000,620000,,,904618,-286277,1238341,3251690,580045,324303,5394379,0,280000,12229,"483,481                        616,937",0,0,0,0,0,,0,0,468021,477705,407299,37023,1099179,0,5394379
KENINDIA,500000,137988,362012,362012,0,60515,540749,-50000,913276,2010355,158024,160316,3241971,718950,0,36271,,,0,114069,0,0,,3169,,218540,207218,617105,294103,38656,0,3241971
KENYA ORIENT,272000,-,272000,272000,0,0,2581,9688,284269,272452,2844,48833,608398,53557,70000,39615,40000,0,0,0,0,0,,0,0,85123,180022,34425,16723,84849,0,608398
KENYA RE,1500000,-,1500000,1500000,-,-,5273363,1619852,8393215,1216440,-,2617326,12226981,,3858858,27910,"1,639,352                         201,467",,48379,-,-,713199,,404682,-,525876,431761,-,280930,2193998,28101,12226981
KENYA ALLIANCE,300000,-,300000,300000,2750,,345382,-8415,639717,1633381,22966,127686,2423750,17372,668848,243453,,0,0,0,0,0,,0,0,791529,58196,203811,11280,142702,2,2423750
"LION OF
KENYA",300000,-,300000,300000,-,115871,884026,199639,1499536,3162633,171877,289202,5123248,117000,1080000,8235,576718,-,-,-,-,50147,,128624,-,1483104,253697,-,37961,1233771,-,5123248
MADISON,300000,-,300000,300000,18616,25938,0,0,344554,367820,0,144672,857046,0,82935,12390,"48,084                          53,420",,,0,0,0,,909,0,6266,237424,0,5130,369910,0,857046
MERCANTILE,150000,-,150000,150000,0,0,150920,0,300920,198974,28710,28791,557395,120000,0,7686,,0,0,0,0,0,,0,0,253182,21232,63493,12707,20361,0,557395
MAYFAIR,450000,141500,308500,308500,-7314,-6039,,0,295147,386252,0,97905,779304,995,0,14867,99282,0,20403,0,0,0,,0,0,277117,60358,30600,38979,129422,0,779304
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,25,26,27,28,29,30,31,32,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCIDENTAL,315000,0,315000,315000,0,0,32282,12600,359882,560054,73322,31330,1024588,314970,0,11110,"278,470                   85,359",0,34100,0,0,0,,0,0,515,78945,141415,34807,31131,7422,1024588
PACIS,133111,-,133111,133111,35537,2012,,3308,173968,227774,0,27345,429087,110000,0,13996,,0,,,,,,,,42702,64499,32623,6238,37550,2408,429087
"PHOENIX OF
E.A",300000,-,300000,300000,,380042,333971,,1014013,698872,0,289016,2001901,0,114749,4555,115623,0,0,0,0,0,,0,121145,48789,113417,201367,4093,403713,0,2001901
REAL,300000,0,300000,300000,0,,82824,44763,427587,703721,2775,378603,1512686,300000,0,36351,95790,,,,,107033,,0,,253118,198750,184146,7539,217764,76864,1512686
STANDARD,,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,0
TAUSI,300000,-,300000,219963,83875,0,28654,0,332492,789614,78598,81671,1282375,102020,0,12166,134016,0,57627,0,0,0,,54455,0,419990,18820,246345,95270,62981,16617,1282375
THE MONARCH,193050,-,193050,193050,0,0,-49741,0,143309,198534,16471,28722,387036,135134,0,10399,20874,0,0,0,0,0,,0,0,37713,0,55594,1703,124176,0,387036
TRIDENT,300000,-,300000,250000,0,0,309013,16437,575450,1287811,164165,154613,2182039,0,475531,101498,272474,0,20000,0,0,0,,110031,0,454501,120755,528302,68822,11764,812,2182039
UAP INSURANCE,600000,-,600000,600000,0,763813,1458388,0,2822201,2516961,0,1124846,6464008,0,1760000,98188,323214,,36455,,,,,47835,,140200,269096,564496,107080,1436617,40440,6464008
TOTAL,13333791,408567,12925224,12552094,377642,1132577,14464750,2455633,30982696,41359569,1684041,9793078,83819384,4626327,11826474,1593982,11551112,0,366519,162618,0,1070767,,1802629,323394,12177024,7372921,4924727,1827918,11471413,509881,83819384
