,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
KENYA RE,1500000,0,0,1500000,0,0,2451713,2049224,6000937,2413717,1827329,428628,10670611,0,2520000,369193,1053083,0,0,0,0,0,2369063,615484,0,341571,0,2865178,44598,487402,5039,10670611
"KENYA
ALLIANCE",100000,0,0,100000,98185,0,0,78235,276420,1766453,0,101381,2144254,18500,361849,240933,902991,0,0,0,0,0,0,0,0,359863,119349,26118,43348,71303,0,2144254
"LION OF
KENYA",200000,0,0,200000,0,126511,560342,37729,924582,2225839,128748,164100,3443269,80640,617978,14154,885438,0,48673,0,0,50147,89143,59264,0,596624,243850,145027,19848,592483,0,3443269
MADISON,100000,0,,100000,0,18616,143653,0,262269,245871,0,224225,732365,0,67923,19634,100000,0,0,0,0,0,150182,0,0,0,196679,159268,10950,27729,0,732365
MERCANTILE,150000,0,0,150000,62811,0,0,0,212811,270213,21186,14420,518630,74000,0,4767,50693,0,0,0,0,0,511,0,0,198770,51701,125661,3217,9310,0,518630
MAYFAIR,200000,24000,,176000,-27037,-316,0,0,148647,103175,0,21030,272852,0,0,11601,20037,0,0,0,0,0,20407,0,0,122894,22632,63605,8664,1736,1276,272852
NO.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCIDENTAL,105000,0,0,105000,0,0,45066,0,150066,436160,60637,31830,678693,185000,0,8726,111750,0,0,0,0,0,825,0,0,64778,154282,131241,74,17022,4995,678693
PACIS,100000,0,100000,100000,0,0,-11168,0,88832,52221,0,22420,163473,35000,0,6899,39324,0,0,0,0,0,11191,0,0,11478,28606,13454,10503,923,6095,163473
